"","iso","dry"
"1","AFG",106.901384943182
"2","AGO",95.9747356546336
"3","ALB",37.6131591796875
"4","ARE",155.800244140625
"5","ARG",35.4661865234375
"6","ARM",27.9049479166667
"7","AUS",33.0143880208333
"8","AUT",15.5741141183036
"9","AZE",47.27294921875
"10","BDI",79.1244419642857
"11","BEL",18.6179387019231
"12","BEN",49.7763264973958
"13","BFA",79.9560546875
"14","BGD",53.9588553950472
"15","BGR",34.1592371323529
"16","BHR",188.267578125
"17","BHS",20.39794921875
"18","BIH",24.7608816964286
"19","BLR",18.8182822779605
"20","BLZ",41.5094401041667
"21","BOL",47.6218904194079
"22","BRA",62.0022011164235
"23","BRB",31.4033203125
"24","BRN",8.49951171875
"25","BTN",40.2317940848214
"26","BWA",76.5071847098214
"27","CAF",45.64404296875
"28","CAN",17.1433148300439
"29","CHE",14.9837782118056
"30","CHL",59.9126281738281
"31","CHN",33.4149914805684
"32","CIV",32.5457974137931
"33","CMR",45.1854091546474
"34","COD",62.4651576450893
"35","COG",35.6942661830357
"36","COL",38.3962972005208
"37","COM",28.640869140625
"38","CPV",160.830078125
"39","CRI",67.546630859375
"40","CUB",26.591342268319
"41","CYP",86.0673828125
"42","CZE",15.35634765625
"43","DEU",16.0872521033654
"44","DJI",101.607421875
"45","DNK",20.156005859375
"46","DOM",40.9868469238281
"47","DZA",74.3400489696558
"48","ECU",14.3506234975962
"49","EGY",185.202849014946
"50","ERI",99.8761393229167
"51","ESP",50.7756090666118
"52","EST",17.9189453125
"53","ETH",60.3954752604167
"54","FIN",16.6607776988636
"55","FJI",18.4148763020833
"56","FRA",22.9965923108553
"57","GAB",12.431396484375
"58","GBR",18.8246048328488
"59","GEO",25.173046875
"60","GHA",42.2509874131944
"61","GIN",65.8311767578125
"62","GMB",116.541259765625
"63","GNB",110.972290039062
"64","GNQ",11.4680989583333
"65","GRC",65.3893345424107
"66","GTM",50.6628580729167
"67","GUY",42.230712890625
"68","HKG",40.45068359375
"69","HND",55.7482688210227
"70","HRV",29.2512555803571
"71","HTI",38.646484375
"72","HUN",20.2572428385417
"73","IDN",19.443396484375
"74","IND",80.6730360634777
"75","IRL",18.1576334635417
"76","IRN",109.838279973448
"77","IRQ",138.682993570964
"78","ISL",19.3212890625
"79","ISR",129.380208333333
"80","ITA",39.1235768387957
"81","JAM",30.8505859375
"82","JOR",147.813720703125
"83","JPN",15.6353384904035
"84","KAZ",43.0455001027961
"85","KEN",52.9498087565104
"86","KGZ",48.0518275669643
"87","KHM",47.3303888494318
"88","KOR",24.7273954503676
"89","KWT",165.911946614583
"90","LAO",45.05947265625
"91","LBN",108.750348772321
"92","LBR",28.7952008928571
"93","LBY",112.206732855903
"94","LKA",40.8433702256944
"95","LSO",32.0983072916667
"96","LTU",17.3307834201389
"97","LUX",16.369140625
"98","LVA",19.736328125
"99","MAR",85.3065292626097
"100","MDA",29.89453125
"101","MDG",39.2402787642045
"102","MDV",33.60009765625
"103","MEX",45.5736942997685
"104","MKD",28.4294704861111
"105","MLI",91.55458984375
"106","MLT",91.8837890625
"107","MMR",67.3089367094494
"108","MNE",24.22802734375
"109","MNG",34.1611328125
"110","MOZ",48.1210680509868
"111","MRT",164.100830078125
"112","MUS",27.181640625
"113","MWI",73.9317016601562
"114","MYS",15.478896722561
"115","NAM",135.796468098958
"116","NCL",22.18408203125
"117","NER",103.047031947545
"118","NGA",64.8480029296875
"119","NIC",90.33642578125
"120","NLD",19.9388671875
"121","NOR",17.0287272135417
"122","NPL",56.5930419921875
"123","NZL",14.7890625
"124","OMN",163.88515625
"125","PAK",103.214148569915
"126","PAN",59.8841796875
"127","PER",55.3524068196615
"128","PHL",17.4960100446429
"129","PNG",13.6188693576389
"130","POL",17.6225402832031
"131","PRI",31.4310302734375
"132","PRK",25.7331775483631
"133","PRT",54.109716796875
"134","PRY",32.7199358258929
"135","PYF",13.630859375
"136","QAT",195.96044921875
"137","ROU",25.2715992647059
"138","RUS",23.3885126528533
"139","RWA",52.5387573242188
"140","SAU",148.967822265625
"141","SDN",100.29517505787
"142","SEN",144.667069284539
"143","SGP",13.74267578125
"144","SLB",7.15576171875
"145","SLE",48.95341796875
"146","SLV",92.8212890625
"147","SOM",82.1156467013889
"148","SRB",23.3109323601974
"149","SSD",55.4879324776786
"150","STP",15.52099609375
"151","SUR",44.6787109375
"152","SVK",17.360888671875
"153","SVN",19.6050618489583
"154","SWE",19.3134390024038
"155","SWZ",25.7316080729167
"156","SYR",117.745093936012
"157","TCD",90.2166341145833
"158","TGO",46.1711613581731
"159","THA",55.5789856991525
"160","TJK",90.4215087890625
"161","TKM",121.647352430556
"162","TLS",46.50830078125
"163","TTO",42.447265625
"164","TUN",90.7701056985294
"165","TUR",65.4136915330763
"166","TWN",23.8465073529412
"167","TZA",88.7944623161765
"168","UGA",36.9306335449219
"169","UKR",29.05783203125
"170","URY",25.1680908203125
"171","USA",32.5967225191886
"172","UZB",99.2424072265625
"173","VEN",86.550462372449
"174","VNM",37.7698025173611
"175","YEM",119.077292049632
"176","ZAF",34.3910784040179
"177","ZMB",132.262801460598
"178","ZWE",100.008251953125
