"","iso","hdd"
"1","AFG",2107.74297762784
"2","AGO",15.9625622979526
"3","ALB",1043.25640869141
"4","ARE",21.214404296875
"5","ARG",812.048041449653
"6","ARM",2599.67862955729
"7","AUS",310.691357421875
"8","AUT",2467.5096609933
"9","AZE",1345.01947380515
"10","BDI",3.72265625
"11","BEL",1777.16139573317
"12","BEN",0.166422526041667
"13","BFA",2.12232881433824
"14","BGD",76.1696823408019
"15","BGR",1530.03759765625
"16","BHR",10.85546875
"17","BHS",0
"18","BIH",1588.68115234375
"19","BLR",3049.08321340461
"20","BLZ",0.617350260416667
"21","BOL",640.573396381579
"22","BRA",41.5277488540024
"23","BRB",0
"24","BRN",0
"25","BTN",1153.45361328125
"26","BWA",210.6572265625
"27","CAF",1.610107421875
"28","CAN",3203.81471011513
"29","CHE",2584.64111328125
"30","CHL",1097.09750366211
"31","CHN",2000.60070111597
"32","CIV",0.434755522629311
"33","CMR",2.66318609775641
"34","COD",2.76720319475446
"35","COG",0
"36","COL",0.0940266927083337
"37","COM",0
"38","CPV",0
"39","CRI",0
"40","CUB",0
"41","CYP",96.11328125
"42","CZE",2444.47555338542
"43","DEU",2266.64335078984
"44","DJI",3.7822265625
"45","DNK",2252.16259765625
"46","DOM",0
"47","DZA",538.525914288949
"48","ECU",0.248159555288462
"49","EGY",198.147736922554
"50","ERI",5.02766927083333
"51","ESP",797.757748252467
"52","EST",3443.56567382812
"53","ETH",44.7333951822917
"54","FIN",3907.4013671875
"55","FJI",0
"56","FRA",1572.1572214227
"57","GAB",0
"58","GBR",1794.6173407976
"59","GEO",2007.46162109375
"60","GHA",0.140266927083333
"61","GIN",1.2698974609375
"62","GMB",0.09912109375
"63","GNB",0.0113525390625
"64","GNQ",0
"65","GRC",625.753592354911
"66","GTM",1.75764973958333
"67","GUY",0
"68","HKG",134.62744140625
"69","HND",0.365944602272727
"70","HRV",1323.13455636161
"71","HTI",0
"72","HUN",1959.65759277344
"73","IDN",0
"74","IND",131.788880936938
"75","IRL",1414.48665364583
"76","IRN",1200.51384420956
"77","IRQ",796.74462890625
"78","ISL",4242.45629882812
"79","ISR",304.84130859375
"80","ITA",1141.99620093369
"81","JAM",0
"82","JOR",454.683430989583
"83","JPN",1203.84524560162
"84","KAZ",3197.48096988076
"85","KEN",2.54677327473958
"86","KGZ",3375.17452566964
"87","KHM",0.193181818181818
"88","KOR",1363.33586569393
"89","KWT",249.1708984375
"90","LAO",105.13408203125
"91","LBN",301.552315848214
"92","LBR",0.240234375
"93","LBY",123.977077907986
"94","LKA",0.000000000000000000289120579329468
"95","LSO",720.087565104167
"96","LTU",2902.65869140625
"97","LUX",2106.64404296875
"98","LVA",2784.58666992188
"99","MAR",382.42341694079
"100","MDA",2025.66479492188
"101","MDG",22.7197709517046
"102","MDV",0
"103","MEX",239.190670814043
"104","MKD",1576.970703125
"105","MLI",6.42096354166667
"106","MLT",40.81103515625
"107","MMR",70.026378813244
"108","MNE",1725.25634765625
"109","MNG",5535.9658203125
"110","MOZ",10.5282689144737
"111","MRT",3.04650878906253
"112","MUS",0
"113","MWI",23.5443725585938
"114","MYS",0
"115","NAM",114.083821614583
"116","NCL",0
"117","NER",21.0507289341518
"118","NGA",3.55806640624999
"119","NIC",0
"120","NLD",1762.40805664063
"121","NOR",3245.64485677083
"122","NPL",1180.34172363281
"123","NZL",790.456898082386
"124","OMN",8.053515625
"125","PAK",643.941546941207
"126","PAN",0
"127","PER",248.342295328776
"128","PHL",0
"129","PNG",0
"130","POL",2452.56408081055
"131","PRI",0
"132","PRK",2882.82749720982
"133","PRT",531.8509765625
"134","PRY",93.2760881696429
"135","PYF",0
"136","QAT",68.51611328125
"137","ROU",2083.6176183364
"138","RUS",3866.6094796317
"139","RWA",3.42095947265625
"140","SAU",244.754921875
"141","SDN",12.8508572048611
"142","SEN",0.497661389802633
"143","SGP",0
"144","SLB",0
"145","SLE",0.324609375
"146","SLV",0.00000000000000290045765183322
"147","SOM",1.08270399305556
"148","SRB",1875.57018400493
"149","SSD",0.0581984747023811
"150","STP",0
"151","SUR",0
"152","SVK",2299.66030273437
"153","SVN",1900.75553385417
"154","SWE",2819.35077373798
"155","SWZ",219.165690104167
"156","SYR",808.026018415179
"157","TCD",12.4180501302083
"158","TGO",0.130709134615385
"159","THA",13.0155256885593
"160","TJK",2637.61541748047
"161","TKM",1349.27121310764
"162","TLS",0
"163","TTO",0
"164","TUN",271.620260799632
"165","TUR",1452.13649680398
"166","TWN",32.6861787683824
"167","TZA",8.2568790211397
"168","UGA",0.58642578125
"169","UKR",2244.61662597656
"170","URY",358.926391601562
"171","USA",1603.72639973959
"172","UZB",2009.89912109375
"173","VEN",0.00663663903061225
"174","VNM",79.4737752278645
"175","YEM",21.6009306066176
"176","ZAF",389.292558942522
"177","ZMB",37.3635784646739
"178","ZWE",83.091064453125
